Rgn,Country                     , Status   ,Latitude,  Longtiude,Elem1,Elem2,Elem3,Elem4,Elem5,Elem6,Elem7,Elem8, Filename 
1,Cote_d'Ivoire                 ,WMO_Member,   6.650,  -4.700,PRCP,DP01,TMAX,    ,    ,MSLP,MNVP,TSUN, DIMBOKRO_65562.csv                                               
1,Cote_d'Ivoire                 ,WMO_Member,   6.130,  -5.950,PRCP,DP01,TMAX,    ,    ,MSLP,MNVP,TSUN, GAGNOA_65557.csv                                                 
1,Cote_d'Ivoire                 ,WMO_Member,   9.420,  -5.620,PRCP,DP01,    ,    ,    ,MSLP,MNVP,    , KORHOGO_65536.csv                                                
1,Cote_d'Ivoire                 ,WMO_Member,   7.380,  -7.520,PRCP,DP01,    ,    ,    ,MSLP,MNVP,    , MAN_65548.csv                                                    
1,Cote_d'Ivoire                 ,WMO_Member,   7.500,  -4.570,PRCP,DP01,    ,    ,    ,MSLP,MNVP,    , ODIENNE_65528.csv                                                
1,Cote_d'Ivoire                 ,WMO_Member,   4.730,  -6.650,PRCP,DP01,TMAX,    ,    ,MSLP,MNVP,TSUN, SANPEDRO_65594.csv                                               
1,Cote_d'Ivoire                 ,WMO_Member,   4.950,  -6.080,PRCP,DP01,TMAX,    ,    ,MSLP,MNVP,TSUN, SASSANDRA_65599.csv                                              
1,Cote_d'Ivoire                 ,WMO_Member,   4.420,  -7.370,PRCP,DP01,TMAX,    ,    ,MSLP,MNVP,TSUN, TABOU_65592.csv                                                  
1,Cote_d'Ivoire                 ,WMO_Member,   6.900,  -5.350,PRCP,DP01,TMAX,    ,    ,MSLP,MNVP,TSUN, YAMOUSSOUKRO_65563.csv                                           
1,Egypt                         ,WMO_Member,  22.000,  31.000,PRCP,DP01,TMAX,TMIN,TAVG,MSLP,    ,    , AbuSimbel_62419.csv                                              
1,Egypt                         ,WMO_Member,  31.000,  29.000,PRCP,DP01,TMAX,TMIN,TAVG,MSLP,    ,    , AlexandriaNouzha_62318.csv                                       
1,Egypt                         ,WMO_Member,  23.000,  32.000,PRCP,DP01,TMAX,TMIN,TAVG,MSLP,    ,    , Asswan_62414.csv                                                 
1,Egypt                         ,WMO_Member,  30.000,  31.000,PRCP,DP01,TMAX,TMIN,TAVG,MSLP,    ,    , CairoAP_62366.csv                                                
1,Egypt                         ,WMO_Member,  27.000,  33.000,PRCP,DP01,TMAX,TMIN,TAVG,MSLP,    ,    , HurghadaAP_62463.csv                                             
1,Egypt                         ,WMO_Member,  25.000,  32.000,PRCP,DP01,TMAX,TMIN,TAVG,MSLP,    ,    , Luxor_62405.csv                                                  
1,Egypt                         ,WMO_Member,  31.000,  27.000,PRCP,DP01,TMAX,TMIN,TAVG,MSLP,    ,    , MersaMatruh_62306.csv                                            
1,Egypt                         ,WMO_Member,  28.000,  30.000,PRCP,DP01,TMAX,TMIN,TAVG,MSLP,    ,    , Minya_62387.csv                                                  
1,Egypt                         ,WMO_Member,  31.000,  32.000,PRCP,DP01,TMAX,TMIN,TAVG,MSLP,    ,    , PortSaidElgamil_62332.csv                                        
1,Egypt                         ,WMO_Member,  31.000,  25.000,PRCP,DP01,TMAX,TMIN,TAVG,MSLP,    ,    , Salloum_62305.csv                                                
1,Egypt                         ,WMO_Member,  27.967,  34.383,PRCP,DP01,TMAX,TMIN,TAVG,MSLP,    ,    , SharmElSheikhAP_62460.csv                                        
1,Gambia                        ,WMO_Member,  13.450, -16.580,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , BANJUL_61711.csv                                                 
1,Gambia                        ,WMO_Member,  13.310, -14.210,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , BASSE_61731.csv                                                  
1,Gambia                        ,WMO_Member,  13.400, -13.880,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , FATOTO_61733.csv                                                 
1,Gambia                        ,WMO_Member,  13.530, -14.770,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , JANJANBUREH_61700.csv                                            
1,Gambia                        ,WMO_Member,  13.470, -16.570,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , JENOI_61707.csv                                                  
1,Gambia                        ,WMO_Member,  13.700, -15.330,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , KAUR_61717.csv                                                   
1,Gambia                        ,WMO_Member,  13.500, -16.100,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , KEREWAN_61712.csv                                                
1,Gambia                        ,WMO_Member,  13.350, -14.900,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , SAPU_61722.csv                                                   
1,Gambia                        ,WMO_Member,  13.210, -16.197,    ,DP01,    ,TMIN,    ,    ,    ,    , SIBANOR_61705.csv                                                
1,Gambia                        ,WMO_Member,  13.342, -16.650,    ,DP01,TMAX,TMIN,TAVG,    ,    ,    , YUNDUM_61701.csv                                                 
1,Ghana                         ,WMO_Member,   6.667,  -0.750,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , Abetifi_65450.csv                                                
1,Ghana                         ,WMO_Member,   5.600,  -0.167,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, Accra_65472.csv                                                  
1,Ghana                         ,WMO_Member,   5.778,   0.622,PRCP,DP01,    ,TMIN,    ,    ,    ,TSUN, Ada_65475.csv                                                    
1,Ghana                         ,WMO_Member,   6.117,   0.800,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, Akatsi_65462.csv                                                 
1,Ghana                         ,WMO_Member,   5.933,  -0.983,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , AkimOda_65457.csv                                                
1,Ghana                         ,WMO_Member,   6.100,   0.117,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , Akuse_65460.csv                                                  
1,Ghana                         ,WMO_Member,   4.867,  -2.233,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, Axim_65465.csv                                                   
1,Ghana                         ,WMO_Member,   9.033,  -2.483,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, Bole_65416.csv                                                   
1,Ghana                         ,WMO_Member,   6.600,   0.467,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , Ho_65453.csv                                                     
1,Ghana                         ,WMO_Member,   7.817,  -0.033,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , KeteKrachi_65437.csv                                             
1,Ghana                         ,WMO_Member,   6.083,  -0.250,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, Koforidua_65459.csv                                              
1,Ghana                         ,WMO_Member,   6.717,  -1.600,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, Kumasi_65442.csv                                                 
1,Ghana                         ,WMO_Member,  10.900,  -1.100,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , Navrongo_65401.csv                                               
1,Ghana                         ,WMO_Member,   5.200,  -1.067,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, Saltpond_65469.csv                                               
1,Ghana                         ,WMO_Member,   6.200,  -2.333,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, SefwiBekwai_65445.csv                                            
1,Ghana                         ,WMO_Member,   7.359,  -2.330,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , Sunyani_65439.csv                                                
1,Ghana                         ,WMO_Member,   4.883,  -1.767,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, Takoradi_65467.csv                                               
1,Ghana                         ,WMO_Member,   9.550,  -0.850,PRCP,DP01,TMAX,TMIN,    ,    ,    ,TSUN, Tamale_65418.csv                                                 
1,Ghana                         ,WMO_Member,   5.617,   0.000,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , Tema_65473.csv                                                   
1,Ghana                         ,WMO_Member,  10.050,  -2.500,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, Wa_65404.csv                                                     
1,Ghana                         ,WMO_Member,   7.750,  -2.100,PRCP,DP01,    ,    ,    ,    ,    ,    , Wenchi_65432.csv                                                 
