Elem,Rgn,Country                     , Status   ,Latitude,  Longtiude, Filename 
MNVP,1,Tunisia                       ,WMO_Member,  33.533,    9.967,  Matmata_60767.csv                                                
MNVP,1,Tunisia                       ,WMO_Member,  33.350,   10.500,  Mednine_60770.csv                                                
MNVP,1,Tunisia                       ,WMO_Member,  35.667,   10.750,  Monastir_60740.csv                                               
MNVP,1,Tunisia                       ,WMO_Member,  36.450,   10.733,  Nabeul_60728.csv                                                 
MNVP,1,Tunisia                       ,WMO_Member,  32.317,   10.400,  Remada_60775.csv                                                 
MNVP,1,Tunisia                       ,WMO_Member,  34.717,   10.683,  Sfax_60750.csv                                                   
MNVP,1,Tunisia                       ,WMO_Member,  35.000,    9.483,  SidiBouZid_60748.csv                                             
MNVP,1,Tunisia                       ,WMO_Member,  36.067,    9.367,  Siliana_60734.csv                                                
MNVP,1,Tunisia                       ,WMO_Member,  36.950,    8.750,  Tabarka_60710.csv                                                
MNVP,1,Tunisia                       ,WMO_Member,  33.583,   10.767,  Tataouine_60772.csv                                              
MNVP,1,Tunisia                       ,WMO_Member,  35.550,    8.683,  Thala_60738.csv                                                  
MNVP,1,Tunisia                       ,WMO_Member,  33.917,    8.100,  Tozeur_60760.csv                                                 
MNVP,1,Tunisia                       ,WMO_Member,  36.833,   10.233,  TunisCarthage_60715.csv                                          
MNVP,1,Tunisia                       ,WMO_Member,  36.367,   10.117,  ZaghouanMogran_60729.csv                                         
MNVP,2,Bahrain                       ,WMO_Member,  26.267,   50.650,  BahrainInternationalAirport_41150.csv                            
MNVP,2,China                         ,WMO_Member,  44.020,  115.000,  ABAG_QI_53192.csv                                                
MNVP,2,China                         ,WMO_Member,  40.930,   78.450,  AKQI_51711.csv                                                   
MNVP,2,China                         ,WMO_Member,  40.500,   81.050,  ALAR_51730.csv                                                   
MNVP,2,China                         ,WMO_Member,  47.730,   88.080,  ALTAY_51076.csv                                                  
MNVP,2,China                         ,WMO_Member,  32.720,  109.030,  ANKANG_57245.csv                                                 
MNVP,2,China                         ,WMO_Member,  30.620,  116.970,  ANQING_58424.csv                                                 
MNVP,2,China                         ,WMO_Member,  47.170,  119.930,  ARXAN_50727.csv                                                  
MNVP,2,China                         ,WMO_Member,  39.800,   78.570,  BACHU_51716.csv                                                  
MNVP,2,China                         ,WMO_Member,  23.900,  106.600,  BAISE_59211.csv                                                  
MNVP,2,China                         ,WMO_Member,  31.900,  102.230,  BARKAM_56172.csv                                                 
MNVP,2,China                         ,WMO_Member,  30.000,   99.100,  BATANG_56247.csv                                                 
MNVP,2,China                         ,WMO_Member,  43.030,   84.150,  BAYANBULAK_51542.csv                                             
MNVP,2,China                         ,WMO_Member,  40.750,  104.500,  BAYAN_MOD_52495.csv                                              
MNVP,2,China                         ,WMO_Member,  21.480,  109.100,  BEIHAI_59644.csv                                                 
MNVP,2,China                         ,WMO_Member,  39.930,  116.280,  BEIJING_54511.csv                                                
MNVP,2,China                         ,WMO_Member,  32.850,  117.300,  BENGBU_58221.csv                                                 
MNVP,2,China                         ,WMO_Member,  33.790,  115.740,  BOXIAN_58102.csv                                                 
MNVP,2,China                         ,WMO_Member,  48.770,  121.920,  BUGT_50632.csv                                                   
MNVP,2,China                         ,WMO_Member,  43.900,  125.220,  CHANGCHUN_54161.csv                                              
MNVP,2,China                         ,WMO_Member,  29.050,  111.680,  CHANGDE_57662.csv                                                
MNVP,2,China                         ,WMO_Member,  28.120,  112.780,  CHANGSHA_57687.csv                                               
MNVP,2,China                         ,WMO_Member,  40.970,  117.920,  CHENGDE_54423.csv                                                
MNVP,2,China                         ,WMO_Member,  37.400,  122.680,  CHENGSHANTOU_54776.csv                                           
MNVP,2,China                         ,WMO_Member,  25.740,  112.970,  CHENZHOU_57972.csv                                               
MNVP,2,China                         ,WMO_Member,  42.300,  118.830,  CHIFENG_54218.csv                                                
MNVP,2,China                         ,WMO_Member,  29.580,  106.470,  CHONGQING_57516.csv                                              
MNVP,2,China                         ,WMO_Member,  28.450,  121.880,  DACHEN_DAO_58666.csv                                             
MNVP,2,China                         ,WMO_Member,  25.700,  100.180,  DALI_56751.csv                                                   
MNVP,2,China                         ,WMO_Member,  38.900,  121.630,  DALIAN_54662.csv                                                 
MNVP,2,China                         ,WMO_Member,  40.050,  124.330,  DANDONG_54497.csv                                                
MNVP,2,China                         ,WMO_Member,  37.850,   95.370,  DA_QAIDAM_52713.csv                                              
MNVP,2,China                         ,WMO_Member,  33.750,   99.650,  DARLAG_56046.csv                                                 
MNVP,2,China                         ,WMO_Member,  31.200,  107.500,  DA_XIAN_57328.csv                                                
